:START_ID,:END_ID,:TYPE
KW-0001,GO:0051537,map_to
KW-0001,KW-0411,hi
KW-0001,KW-0411,hi
KW-0001,KW-0479,hi
KW-0003,GO:0051538,map_to
KW-0003,KW-0411,hi
KW-0003,KW-0411,hi
KW-0003,KW-0479,hi
KW-0004,GO:0051539,map_to
KW-0004,KW-0411,hi
KW-0004,KW-0411,hi
KW-0004,KW-0479,hi
KW-0937,GO:0009688,map_to
KW-0938,GO:0009738,map_to
KW-0005,GO:0045151,map_to
KW-0006,GO:0045150,map_to
KW-0008,GO:0030550,map_to
KW-0008,KW-0629,hi
KW-0117,GO:0051693,map_to
KW-0009,GO:0003779,map_to
KW-1178,GO:0039680,map_to
KW-1178,KW-1176,hi
KW-1072,GO:0039520,map_to
KW-1072,KW-0945,hi
KW-1073,GO:0039651,map_to
KW-1073,KW-1119,hi
KW-1074,GO:0039652,map_to
KW-1074,KW-0945,hi
KW-0011,GO:0006953,map_to
KW-0012,GO:0016746,map_to
KW-0012,KW-0808,hi
KW-1064,GO:0002250,map_to
KW-1064,KW-0391,hi
KW-0016,GO:0042121,map_to
KW-0017,GO:0009820,map_to
KW-0019,GO:0015716,map_to
KW-0021,GO:0003824,map_to
KW-0021,GO:0008152,map_to
KW-0022,GO:0015066,map_to
KW-0028,GO:0008652,map_to
KW-0029,GO:0006865,map_to
KW-0029,KW-0813,hi
KW-0030,GO:0004812,map_to
KW-0030,KW-0436,hi
KW-0031,GO:0004177,map_to
KW-0031,KW-0645,hi
KW-0032,GO:0008483,map_to
KW-0032,KW-0808,hi
KW-0924,GO:0015696,map_to
KW-0924,KW-0813,hi
KW-0878,GO:0006952,map_to
KW-0035,GO:0009501,map_to
KW-0035,KW-0934,hi
KW-0036,KW-0523,hi
KW-0037,GO:0001525,map_to
KW-0039,GO:0015301,map_to
KW-0039,KW-0406,hi
KW-0042,GO:0030076,map_to
KW-0044,GO:0042742,map_to
KW-0044,KW-0929,hi
KW-0045,GO:0017000,map_to
KW-0046,GO:0046677,map_to
KW-0049,GO:0016209,map_to
KW-0050,GO:0015297,map_to
KW-0050,KW-0813,hi
KW-0051,GO:0051607,map_to
KW-0930,GO:0050688,map_to
KW-0933,GO:0020011,map_to
KW-0933,KW-0934,hi
KW-0052,GO:0048046,map_to
KW-0053,GO:0006915,map_to
KW-0054,GO:0019568,map_to
KW-0054,KW-0119,hi
KW-0974,GO:0097589,map_to
KW-0055,GO:0006526,map_to
KW-0055,KW-0028,hi
KW-0056,GO:0006525,map_to
KW-0057,GO:0009073,map_to
KW-0057,KW-0028,hi
KW-0058,GO:0019439,map_to
KW-0059,GO:0046685,map_to
KW-0060,GO:0019853,map_to
KW-0061,GO:0006529,map_to
KW-0061,KW-0028,hi
KW-0062,GO:0019828,map_to
KW-0062,KW-0646,hi
KW-0063,GO:0045330,map_to
KW-0063,KW-0378,hi
KW-0064,GO:0004190,map_to
KW-0064,KW-0645,hi
KW-1270,KW-1268,hi
KW-0066,GO:0006754,map_to
KW-0067,GO:0005524,map_to
KW-0067,KW-0547,hi
KW-1269,KW-1268,hi
KW-0070,KW-0844,hi
KW-0072,GO:0006914,map_to
KW-0073,GO:0009851,map_to
KW-0927,GO:0009734,map_to
KW-0075,GO:0042113,map_to
KW-0975,GO:0009288,map_to
KW-1005,GO:0044781,map_to
KW-1006,KW-0653,hi
KW-1261,KW-1190,hi
KW-1263,KW-1261,hi
KW-0076,GO:0042314,map_to
KW-0076,KW-0148,hi
KW-0077,GO:0030494,map_to
KW-0077,KW-0149,hi
KW-0078,GO:0019835,map_to
KW-0078,KW-0044,hi
KW-0871,GO:0030152,map_to
KW-0871,KW-0045,hi
KW-0079,GO:0030153,map_to
KW-0080,GO:0043213,map_to
KW-0080,KW-0653,hi
KW-0081,GO:0003824,map_to
KW-0081,GO:0008152,map_to
KW-0081,GO:0019835,map_to
KW-0081,GO:0042742,map_to
KW-0081,KW-0929,hi
KW-0082,GO:0010466,map_to
KW-0082,GO:0030414,map_to
KW-0083,KW-1186,hi
KW-0084,GO:0005604,map_to
KW-0084,KW-0272,hi
KW-0085,GO:0007610,map_to
KW-0088,GO:0030573,map_to
KW-0088,KW-0442,hi
KW-0088,KW-0753,hi
KW-0089,KW-0157,hi
KW-0090,GO:0048511,map_to
KW-0091,GO:0031214,map_to
KW-0093,GO:0009102,map_to
KW-0094,GO:0007596,map_to
KW-0094,KW-0356,hi
KW-1204,KW-1199,hi
KW-1203,KW-1199,hi
KW-1222,KW-1213,hi
KW-0100,GO:0009082,map_to
KW-0100,KW-0028,hi
KW-0101,GO:0009083,map_to
KW-1069,GO:0016132,map_to
KW-1069,KW-0752,hi
KW-1070,GO:0009742,map_to
KW-0105,GO:0046686,map_to
KW-0107,GO:0005262,map_to
KW-0107,GO:0070588,map_to
KW-0107,KW-0106,hi
KW-0107,KW-0109,hi
KW-0107,KW-0407,hi
KW-0108,GO:0019855,map_to
KW-0108,KW-0872,hi
KW-0109,GO:0006816,map_to
KW-0109,KW-0106,hi
KW-0109,KW-0406,hi
KW-1221,KW-0632,hi
KW-0111,GO:0005544,map_to
KW-0111,KW-0106,hi
KW-0112,GO:0005516,map_to
KW-0113,GO:0019253,map_to
KW-0115,GO:0006171,map_to
KW-0116,GO:0030552,map_to
KW-0116,KW-0114,hi
KW-0116,KW-0547,hi
KW-1157,GO:0075526,map_to
KW-1232,GO:0098021,map_to
KW-1232,KW-0167,hi
KW-1231,GO:0039641,map_to
KW-1231,KW-0946,hi
KW-0167,GO:0019028,map_to
KW-0167,KW-0946,hi
KW-0875,GO:0042603,map_to
KW-0875,KW-0964,hi
KW-0119,GO:0005975,map_to
KW-0120,GO:0015977,map_to
KW-0121,GO:0004180,map_to
KW-0121,KW-0645,hi
KW-0123,KW-0800,hi
KW-0124,GO:0045329,map_to
KW-0125,GO:0016117,map_to
KW-0127,GO:0042423,map_to
KW-0128,GO:0006584,map_to
KW-1166,GO:0075513,map_to
KW-1166,KW-1164,hi
KW-0130,GO:0007155,map_to
KW-1217,KW-0800,hi
KW-0131,GO:0007049,map_to
KW-0132,GO:0051301,map_to
KW-0132,KW-0131,hi
KW-0997,GO:0005886,map_to
KW-0997,KW-1003,hi
KW-0965,GO:0030054,map_to
KW-1003,GO:0005886,map_to
KW-1003,KW-0472,hi
KW-0998,GO:0009279,map_to
KW-0998,KW-0472,hi
KW-0966,GO:0042995,map_to
KW-0133,GO:0008360,map_to
KW-0134,GO:0005618,map_to
KW-0134,KW-0964,hi
KW-0961,GO:0071555,map_to
KW-0135,GO:0030244,map_to
KW-0136,GO:0030245,map_to
KW-0136,KW-0624,hi
KW-0137,GO:0000775,map_to
KW-0138,GO:0045263,map_to
KW-0138,KW-0375,hi
KW-0139,GO:0045261,map_to
KW-0139,KW-0066,hi
KW-0141,GO:0006182,map_to
KW-0142,GO:0030553,map_to
KW-0142,KW-0140,hi
KW-0142,KW-0547,hi
KW-0144,KW-0622,hi
KW-0145,GO:0006935,map_to
KW-0146,GO:0006032,map_to
KW-0146,KW-0624,hi
KW-0147,GO:0008061,map_to
KW-0869,GO:0005254,map_to
KW-0869,GO:0006821,map_to
KW-0869,GO:0034707,map_to
KW-0869,KW-0406,hi
KW-0869,KW-0407,hi
KW-0869,KW-0868,hi
KW-1265,KW-0872,hi
KW-0148,GO:0016168,map_to
KW-0148,KW-0157,hi
KW-0149,GO:0015995,map_to
KW-0881,GO:0015996,map_to
KW-0150,GO:0009507,map_to
KW-0150,KW-0934,hi
KW-0151,GO:0046858,map_to
KW-0151,KW-0602,hi
KW-0152,GO:0006695,map_to
KW-0152,KW-0153,hi
KW-0152,KW-0756,hi
KW-0152,KW-0756,hi
KW-0153,GO:0008203,map_to
KW-0153,KW-1207,hi
KW-0891,GO:0051216,map_to
KW-0155,GO:0046687,map_to
KW-0156,GO:0016569,map_to
KW-0157,GO:0018298,map_to
KW-0957,GO:0009509,map_to
KW-0957,KW-0934,hi
KW-0158,GO:0005694,map_to
KW-0159,GO:0007059,map_to
KW-0162,GO:0042627,map_to
KW-0969,GO:0005929,map_to
KW-0969,KW-0966,hi
KW-0970,GO:0030030,map_to
KW-0163,GO:0006101,map_to
KW-1167,GO:0019065,map_to
KW-1167,KW-1164,hi
KW-1165,GO:0075512,map_to
KW-1165,KW-1164,hi
KW-0168,GO:0005905,map_to
KW-0168,KW-0472,hi
KW-0846,GO:0031419,map_to
KW-0846,KW-0170,hi
KW-0169,GO:0009236,map_to
KW-0171,GO:0006824,map_to
KW-0171,KW-0170,hi
KW-0171,KW-0406,hi
KW-0173,GO:0015937,map_to
KW-0174,GO:0019295,map_to
KW-0176,GO:0005581,map_to
KW-0177,GO:0030574,map_to
KW-0178,GO:0030420,map_to
KW-1018,GO:0001867,map_to
KW-1018,KW-0399,hi
KW-0179,GO:0006957,map_to
KW-0179,KW-0399,hi
KW-0180,GO:0006958,map_to
KW-0180,KW-0399,hi
KW-1216,KW-0800,hi
KW-1055,KW-0360,hi
KW-0183,GO:0048315,map_to
KW-0183,KW-0749,hi
KW-0184,GO:0000746,map_to
KW-0187,GO:0006825,map_to
KW-0187,KW-0186,hi
KW-0187,KW-0406,hi
KW-0188,GO:0042628,map_to
KW-0191,GO:0018144,map_to
KW-1257,GO:0098672,map_to
KW-1257,KW-0945,hi
KW-0193,GO:0042302,map_to
KW-0194,GO:0009842,map_to
KW-0194,KW-0934,hi
KW-0196,GO:0046898,map_to
KW-0196,KW-0046,hi
KW-0198,GO:0019344,map_to
KW-0198,KW-0028,hi
KW-0200,GO:0020035,map_to
KW-0201,GO:0017004,map_to
KW-0202,GO:0005125,map_to
KW-0202,GO:0005615,map_to
KW-0203,GO:0009691,map_to
KW-0932,GO:0009736,map_to
KW-0204,GO:0019835,map_to
KW-0963,GO:0005737,map_to
KW-1176,GO:0075606,map_to
KW-1176,KW-1160,hi
KW-0968,GO:0031410,map_to
KW-0205,GO:0019858,map_to
KW-0206,GO:0005856,map_to
KW-0206,KW-0963,hi
KW-0210,GO:0016831,map_to
KW-0210,KW-0456,hi
KW-1132,GO:0039595,map_to
KW-1132,KW-1192,hi
KW-0211,GO:0006952,map_to
KW-0211,KW-0929,hi
KW-1238,GO:0098996,map_to
KW-1238,KW-0946,hi
KW-1238,KW-1235,hi
KW-1235,GO:0098994,map_to
KW-1235,KW-0946,hi
KW-1235,KW-1160,hi
KW-1247,GO:0099015,map_to
KW-1247,KW-1261,hi
KW-1237,GO:0098995,map_to
KW-1237,KW-1235,hi
KW-1236,GO:0098932,map_to
KW-1236,KW-0946,hi
KW-1236,KW-1235,hi
KW-0213,KW-0622,hi
KW-0215,GO:0009263,map_to
KW-1061,KW-0800,hi
KW-0911,KW-1060,hi
KW-0216,GO:0009636,map_to
KW-0217,GO:0007275,map_to
KW-0220,GO:0019877,map_to
KW-0221,GO:0030154,map_to
KW-0222,GO:0007586,map_to
KW-0223,GO:0051213,map_to
KW-0223,KW-0560,hi
KW-0224,GO:0016805,map_to
KW-0224,KW-0645,hi
KW-0226,GO:0030261,map_to
KW-0227,GO:0006974,map_to
KW-1256,GO:0099016,map_to
KW-1256,KW-0945,hi
KW-0228,GO:0006281,map_to
KW-0229,GO:0015074,map_to
KW-0230,GO:0000150,map_to
KW-0230,GO:0003677,map_to
KW-0230,GO:0006310,map_to
KW-0230,KW-0233,hi
KW-0230,KW-0238,hi
KW-0233,GO:0006310,map_to
KW-0234,GO:0006281,map_to
KW-0234,KW-0227,hi
KW-0235,GO:0006260,map_to
KW-0236,GO:0008156,map_to
KW-0237,GO:0071897,map_to
KW-0238,GO:0003677,map_to
KW-0239,GO:0003887,map_to
KW-0239,KW-0548,hi
KW-0240,GO:0003899,map_to
KW-0240,KW-0804,hi
KW-0243,GO:0003774,map_to
KW-0243,GO:0030286,map_to
KW-0249,GO:0055114,map_to
KW-0249,KW-0813,hi
KW-0250,KW-0360,hi
KW-0251,GO:0003746,map_to
KW-0251,GO:0006414,map_to
KW-0251,KW-0648,hi
KW-0254,GO:0006897,map_to
KW-0255,GO:0004519,map_to
KW-0255,KW-0540,hi
KW-0256,GO:0005783,map_to
KW-0257,GO:0007218,map_to
KW-0967,GO:0005768,map_to
KW-0259,GO:0009239,map_to
KW-0260,GO:0009405,map_to
KW-0260,KW-0800,hi
KW-0931,GO:0016192,map_to
KW-0931,KW-0813,hi
KW-0265,GO:0043249,map_to
KW-0266,GO:0009693,map_to
KW-0936,GO:0009873,map_to
KW-1262,KW-1190,hi
KW-1191,GO:0039653,map_to
KW-1191,KW-1262,hi
KW-1193,GO:0039604,map_to
KW-1193,KW-1262,hi
KW-1259,KW-0945,hi
KW-1125,GO:0030683,map_to
KW-1125,KW-0899,hi
KW-0267,GO:0004518,map_to
KW-0267,KW-0234,hi
KW-0268,GO:0006887,map_to
KW-0269,GO:0004527,map_to
KW-0269,KW-0540,hi
KW-0270,GO:0000271,map_to
KW-0271,GO:0000178,map_to
KW-0272,GO:0005578,map_to
KW-0272,KW-0964,hi
KW-0273,GO:0005212,map_to
KW-0274,KW-0285,hi
KW-0275,GO:0006633,map_to
KW-0275,KW-0276,hi
KW-0275,KW-0444,hi
KW-0276,GO:0006631,map_to
KW-0276,KW-0443,hi
KW-0278,GO:0007338,map_to
KW-1206,KW-1199,hi
KW-0280,GO:0042730,map_to
KW-0280,KW-0094,hi
KW-1205,KW-1199,hi
KW-0281,GO:0009289,map_to
KW-0283,GO:0097588,map_to
KW-0282,GO:0031514,map_to
KW-0282,KW-0969,hi
KW-0284,GO:0009813,map_to
KW-0286,GO:0007629,map_to
KW-0287,GO:0009908,map_to
KW-0288,KW-0285,hi
KW-0289,GO:0046656,map_to
KW-0290,GO:0005542,map_to
KW-0292,GO:0009835,map_to
KW-0294,GO:0006004,map_to
KW-0294,KW-0119,hi
KW-0295,GO:0031640,map_to
KW-0295,GO:0050832,map_to
KW-0295,KW-0929,hi
KW-1169,GO:0019064,map_to
KW-1169,KW-1168,hi
KW-1170,GO:0039654,map_to
KW-1170,KW-1168,hi
KW-1168,GO:0039663,map_to
KW-1168,KW-1162,hi
KW-1239,GO:0098997,map_to
KW-1239,KW-0946,hi
KW-1239,KW-1168,hi
KW-1214,KW-1213,hi
KW-0297,GO:0004930,map_to
KW-0297,GO:0007186,map_to
KW-0297,KW-0675,hi
KW-0297,KW-0807,hi
KW-1213,KW-0800,hi
KW-1077,GO:0039646,map_to
KW-1077,KW-1121,hi
KW-1078,GO:0039645,map_to
KW-1078,KW-1121,hi
KW-0298,GO:0019402,map_to
KW-0299,GO:0006012,map_to
KW-0299,KW-0119,hi
KW-0303,GO:0005921,map_to
KW-0303,KW-0965,hi
KW-0302,GO:0035282,map_to
KW-0302,KW-0217,hi
KW-0304,GO:0031411,map_to
KW-0304,KW-0926,hi
KW-0305,GO:0007585,map_to
KW-0306,GO:0007369,map_to
KW-0306,KW-0217,hi
KW-0939,GO:0009740,map_to
KW-0311,GO:0019521,map_to
KW-0312,GO:0006094,map_to
KW-0313,GO:0006006,map_to
KW-0313,KW-0119,hi
KW-0314,GO:0006537,map_to
KW-0314,KW-0028,hi
KW-0315,GO:0006541,map_to
KW-0317,GO:0006750,map_to
KW-0971,KW-0325,hi
KW-0319,GO:0006071,map_to
KW-0320,GO:0005978,map_to
KW-0321,GO:0005977,map_to
KW-0321,KW-0119,hi
KW-0323,GO:0009854,map_to
KW-0324,GO:0006096,map_to
KW-0326,GO:0008152,map_to
KW-0326,GO:0016798,map_to
KW-0326,KW-0378,hi
KW-0327,GO:0020015,map_to
KW-0328,GO:0016757,map_to
KW-0328,KW-0808,hi
KW-0329,GO:0006097,map_to
KW-0330,GO:0009514,map_to
KW-0332,GO:0006177,map_to
KW-0332,KW-0658,hi
KW-0333,GO:0005794,map_to
KW-0334,GO:0007506,map_to
KW-0334,KW-0221,hi
KW-0336,GO:0031225,map_to
KW-0336,KW-0325,hi
KW-0336,KW-0449,hi
KW-0336,KW-0472,hi
KW-0337,GO:0006506,map_to
KW-0338,GO:0007050,map_to
KW-0338,KW-0131,hi
KW-0339,GO:0008083,map_to
KW-0340,GO:0019838,map_to
KW-0341,GO:0040008,map_to
KW-0342,GO:0005525,map_to
KW-0342,KW-0547,hi
KW-0343,GO:0005096,map_to
KW-0344,GO:0005085,map_to
KW-0345,GO:0034364,map_to
KW-1009,GO:0007605,map_to
KW-1139,GO:0019029,map_to
KW-1139,KW-0167,hi
KW-1139,KW-0946,hi
KW-0347,GO:0004386,map_to
KW-0347,KW-0067,hi
KW-0347,KW-0378,hi
KW-0349,KW-0408,hi
KW-0349,KW-0479,hi
KW-0350,GO:0006783,map_to
KW-0351,GO:0030492,map_to
KW-0353,GO:0042381,map_to
KW-0354,GO:0044179,map_to
KW-0354,KW-0204,hi
KW-0355,KW-0094,hi
KW-1200,KW-1199,hi
KW-0356,GO:0007599,map_to
KW-1199,KW-0800,hi
KW-0357,KW-0654,hi
KW-0358,GO:0008201,map_to
KW-0359,GO:0009635,map_to
KW-0890,KW-0523,hi
KW-0363,KW-0015,hi
KW-0364,GO:0043158,map_to
KW-0909,GO:0042750,map_to
KW-0368,GO:0000105,map_to
KW-0368,KW-0028,hi
KW-0369,GO:0006547,map_to
KW-0371,GO:0003677,map_to
KW-0372,GO:0005179,map_to
KW-1030,GO:0020002,map_to
KW-1030,KW-1032,hi
KW-1031,GO:0044156,map_to
KW-0578,GO:0044659,map_to
KW-0578,KW-0204,hi
KW-0578,KW-1188,hi
KW-1032,GO:0020002,map_to
KW-1032,KW-1043,hi
KW-1033,GO:0020002,map_to
KW-1033,KW-1043,hi
KW-1034,GO:0044157,map_to
KW-1183,GO:0001618,map_to
KW-1183,KW-0675,hi
KW-1035,GO:0030430,map_to
KW-1036,GO:0044161,map_to
KW-1037,GO:0044163,map_to
KW-1037,KW-1035,hi
KW-1038,GO:0044165,map_to
KW-1039,GO:0044174,map_to
KW-1079,GO:0039592,map_to
KW-1079,KW-1121,hi
KW-1190,GO:0039657,map_to
KW-1190,KW-0945,hi
KW-1040,GO:0044177,map_to
KW-1041,GO:0044186,map_to
KW-1042,GO:0044187,map_to
KW-1043,GO:0033644,map_to
KW-1043,KW-0472,hi
KW-1044,GO:0033648,map_to
KW-1044,KW-1038,hi
KW-1045,GO:0033650,map_to
KW-1046,GO:0044192,map_to
KW-1046,KW-1043,hi
KW-1046,KW-1045,hi
KW-1047,GO:0044193,map_to
KW-1047,KW-1043,hi
KW-1047,KW-1045,hi
KW-1192,KW-1262,hi
KW-1048,GO:0042025,map_to
KW-1049,GO:0044229,map_to
KW-1051,GO:0044221,map_to
KW-1051,KW-1031,hi
KW-1050,GO:0044159,map_to
KW-0945,GO:0016032,map_to
KW-0373,GO:0005540,map_to
KW-0375,GO:0015992,map_to
KW-0375,KW-0406,hi
KW-0376,GO:0042744,map_to
KW-0376,KW-0575,hi
KW-0377,GO:0042566,map_to
KW-0378,GO:0016787,map_to
KW-0381,GO:0009626,map_to
KW-0381,KW-0611,hi
KW-0928,GO:0034053,map_to
KW-0382,GO:0008217,map_to
KW-0386,GO:0008612,map_to
KW-0387,GO:0050825,map_to
KW-1196,GO:0039699,map_to
KW-1196,KW-1195,hi
KW-0388,GO:0019862,map_to
KW-0389,GO:0019863,map_to
KW-0390,GO:0019864,map_to
KW-0391,GO:0002376,map_to
KW-0392,GO:0003823,map_to
KW-0392,KW-0393,hi
KW-0394,GO:0003823,map_to
KW-0394,KW-0393,hi
KW-1271,GO:0061702,map_to
KW-1271,KW-0963,hi
KW-0395,GO:0006954,map_to
KW-1111,GO:0039602,map_to
KW-1111,KW-1191,hi
KW-1075,GO:0039611,map_to
KW-1075,KW-1193,hi
KW-1080,GO:0039504,map_to
KW-1080,KW-0899,hi
KW-1081,GO:0019050,map_to
KW-1081,KW-1119,hi
KW-1082,GO:0019050,map_to
KW-1082,KW-1119,hi
KW-1083,GO:0039521,map_to
KW-1083,KW-0945,hi
KW-1085,GO:0039650,map_to
KW-1085,KW-1119,hi
KW-1086,GO:0039553,map_to
KW-1086,KW-0899,hi
KW-1087,GO:0039573,map_to
KW-1087,KW-0899,hi
KW-1248,GO:0098673,map_to
KW-1248,KW-1121,hi
KW-1224,GO:0039724,map_to
KW-1224,KW-1113,hi
KW-1090,GO:0039503,map_to
KW-1090,KW-0899,hi
KW-1091,GO:0039511,map_to
KW-1091,KW-1114,hi
KW-1114,GO:0039502,map_to
KW-1114,KW-1090,hi
KW-1092,GO:0039548,map_to
KW-1092,KW-1113,hi
KW-1093,GO:0039557,map_to
KW-1093,KW-1113,hi
KW-1094,GO:0039560,map_to
KW-1094,KW-1114,hi
KW-1095,GO:0039579,map_to
KW-1095,KW-1114,hi
KW-1096,GO:0039576,map_to
KW-1096,KW-1114,hi
KW-1097,GO:0039545,map_to
KW-1097,KW-1113,hi
KW-1089,GO:0039554,map_to
KW-1089,KW-1113,hi
KW-1115,GO:0046776,map_to
KW-1115,KW-1080,hi
KW-1116,GO:0039505,map_to
KW-1116,KW-1080,hi
KW-1098,GO:0039593,map_to
KW-1098,KW-1121,hi
KW-1099,GO:0039522,map_to
KW-1099,KW-1192,hi
KW-1100,GO:0039644,map_to
KW-1100,KW-0945,hi
KW-1102,GO:0039580,map_to
KW-1102,KW-1114,hi
KW-1101,GO:0039647,map_to
KW-1101,KW-1193,hi
KW-1103,GO:0039524,map_to
KW-1103,KW-1192,hi
KW-1117,GO:0039588,map_to
KW-1117,KW-1080,hi
KW-1088,GO:0039540,map_to
KW-1088,KW-1113,hi
KW-1113,GO:0039532,map_to
KW-1113,KW-1090,hi
KW-1104,GO:0039523,map_to
KW-1104,KW-1191,hi
KW-1105,GO:0039563,map_to
KW-1105,KW-1114,hi
KW-1106,GO:0039564,map_to
KW-1106,KW-1114,hi
KW-1107,GO:0039589,map_to
KW-1107,KW-1080,hi
KW-1108,GO:0039591,map_to
KW-1108,KW-1080,hi
KW-1223,GO:0039723,map_to
KW-1223,KW-1225,hi
KW-1084,GO:0039587,map_to
KW-1084,KW-1114,hi
KW-1225,GO:0039722,map_to
KW-1225,KW-1090,hi
KW-1110,GO:0039547,map_to
KW-1110,KW-1113,hi
KW-1112,GO:0039574,map_to
KW-1112,KW-1114,hi
KW-0396,GO:0003743,map_to
KW-0396,GO:0006413,map_to
KW-0396,KW-0648,hi
KW-0399,GO:0045087,map_to
KW-0399,KW-0391,hi
KW-1153,GO:0039625,map_to
KW-1153,KW-0167,hi
KW-0398,GO:0006021,map_to
KW-0401,GO:0007229,map_to
KW-0922,GO:0030683,map_to
KW-1154,GO:0039626,map_to
KW-1154,KW-0167,hi
KW-0403,GO:0005882,map_to
KW-0404,GO:0006314,map_to
KW-0404,KW-0255,hi
KW-0407,GO:0005216,map_to
KW-0407,KW-0406,hi
KW-0872,GO:0008200,map_to
KW-0872,KW-0800,hi
KW-0406,GO:0006811,map_to
KW-0406,KW-0813,hi
KW-1028,KW-0629,hi
KW-1028,KW-0872,hi
KW-0409,GO:0006879,map_to
KW-0409,KW-0408,hi
KW-0410,GO:0055072,map_to
KW-0410,KW-0406,hi
KW-0410,KW-0408,hi
KW-0411,GO:0051536,map_to
KW-0411,KW-0408,hi
KW-0411,KW-0479,hi
KW-0412,GO:0009097,map_to
KW-0412,KW-0100,hi
KW-0413,GO:0016853,map_to
KW-0414,GO:0008299,map_to
KW-0979,KW-1186,hi
KW-1012,KW-0990,hi
KW-0415,GO:0000741,map_to
KW-0416,GO:0005882,map_to
KW-0417,GO:0031424,map_to
KW-0418,GO:0016301,map_to
KW-0418,GO:0016310,map_to
KW-0418,KW-0808,hi
KW-0995,GO:0000776,map_to
KW-0419,GO:0020023,map_to
KW-0419,KW-0496,hi
KW-0953,KW-0038,hi
